Município,Menor 1 ano,1 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 a 69 anos,70 a 79 anos,80 anos e mais,Total
280010 Amparo de São Francisco,46,154,203,250,222,421,321,257,165,125,84,42,2290
280020 Aquidabã,341,1315,1834,2140,2031,3414,2857,2280,1690,1236,769,408,20315
280030 Aracaju,9085,32768,41614,48154,50453,120624,99811,78152,53649,30428,15008,7955,587701
280040 Arauá,170,644,890,1056,1050,1642,1356,1068,746,488,251,134,9495
280050 Areia Branca,323,1172,1605,1927,1788,3187,2633,1865,1201,754,483,226,17164
280060 Barra dos Coqueiros,495,1786,2302,2623,2463,4982,4230,3333,1947,1058,596,244,26059
280067 Boquim,438,1651,2285,2711,2618,4316,3813,3195,2015,1539,755,391,25727
280070 Brejo Grande,197,635,814,1016,874,1366,1012,738,520,316,245,106,7839
280100 Campo do Brito,310,1061,1433,1778,1623,2945,2479,1977,1384,1014,643,340,16987
280110 Canhoba,73,285,398,459,424,656,532,446,272,222,138,50,3955
280120 Canindé de São Francisco,470,2080,3048,3285,2888,4639,3822,2493,1395,941,441,231,25733
280130 Capela,578,2236,3095,3511,3141,5851,4390,3277,2295,1570,966,492,31402
280140 Carira,333,1372,1902,2081,1976,3479,2875,2302,1687,1248,693,397,20345
280150 Carmópolis,294,1070,1414,1615,1414,2842,2154,1527,977,475,226,122,14130
280160 Cedro de São João,94,371,486,512,474,931,834,782,451,394,229,114,5672
280170 Cristinápolis,329,1281,1824,2109,1835,3032,2404,1731,1038,726,373,177,16859
280190 Cumbe,45,224,351,390,391,639,596,456,275,254,152,66,3839
280200 Divina Pastora,99,329,432,530,448,778,685,490,319,208,113,56,4487
280210 Estância,1151,4228,5692,6766,6702,12121,9641,7687,5278,3194,1823,943,65226
280220 Feira Nova,87,357,538,630,550,900,766,604,397,289,164,81,5363
280230 Frei Paulo,263,887,1171,1478,1458,2575,2165,1629,1076,778,445,237,14162
280240 Gararu,202,777,1098,1271,1118,1972,1658,1322,853,625,356,160,11412
280250 General Maynard,53,175,254,342,297,568,460,340,237,157,74,52,3009
280260 Gracho Cardoso,97,353,475,573,560,950,806,685,488,345,210,123,5665
280270 Ilha das Flores,205,663,816,993,925,1396,1106,861,571,387,281,155,8359
280280 Indiaroba,339,1365,1858,2007,1810,2845,2153,1526,1051,681,412,189,16236
280290 Itabaiana,1479,5506,7516,8913,8711,16964,13904,10541,6937,4400,2358,1272,88501
280300 Itabaianinha,713,2943,4120,4480,4027,7130,5473,4201,2903,1854,1084,504,39432
280310 Itabi,64,274,420,497,495,708,702,647,497,354,172,112,4942
280320 Itaporanga d'Ajuda,603,2232,2983,3457,3284,5918,4682,3318,2026,1461,816,385,31165
280330 Japaratuba,294,1073,1537,1912,1778,3159,2413,2041,1355,900,485,266,17213
280340 Japoatã,242,988,1304,1370,1353,2356,1826,1367,887,690,374,169,12926
280350 Lagarto,1505,5894,8451,10055,9732,17050,14148,11772,7961,5392,3062,1580,96602
