Municípios;Início da faixa do CEP;Fim da faixa do CEP
Amparo de São Francisco;49920;49929
Aquidabã;49790;49799
Aracaju;49000;49099
Arauá;49220;49229
Areia Branca;49580;49599
Barra dos Coqueiros;49140;49149
Boquim;49360;49389
Brejo Grande;49995;49999
Campo do Brito;49520;49524
Canhoba;49880;49889
Canindé de São Francisco;49820;49829
Capela;49700;49739
Carira;49550;49559
Carmópolis;49740;49749
Cedro de São João;49930;49939
Cristinápolis;49270;49279
Cumbe;49660;49669
Divina Pastora;49650;49659
Estância;49200;49219
Feira Nova;49670;49679
Frei Paulo;49514;49516
Gararu;49830;49859
General Maynard;49750;49759
Graccho Cardoso;49860;49869
Ilha das Flores;49990;49994
Indiaroba;49250;49259
Itabaiana;49500;49511
Itabaianinha;49290;49299
Itabi;49870;49879
Itaporanga dAjuda;49120;49129
Japaratuba;49960;49969
Japoatã;49950;49959
Lagarto;49400;49479
Laranjeiras;49170;49179
Macambira;49565;49569
Malhada dos Bois;49940;49944
Malhador;49570;49579
Maruim;49770;49779
Moita Bonita;49560;49564
Monte Alegre de Sergipe;49690;49699
Muribeca;49780;49789
Neópolis;49980;49984
Nossa Senhora Aparecida;49540;49549
Nossa Senhora da Glória;49680;49689
Nossa Senhora das Dores;49600;49629
Nossa Senhora de Lourdes;49890;49899
Nossa Senhora do Socorro;49150;49169
Pacatuba;49970;49979
Pedra Mole;49512;49513
Pedrinhas;49350;49359
Pinhão;49517;49519
Pirambu;49190;49199
Poço Redondo;49810;49819
Poço Verde;49490;49499
Porto da Folha;49800;49809
Propriá;49900;49909
Riachão do Dantas;49320;49349
Riachuelo;49130;49139
Ribeirópolis;49530;49534
Rosário do Catete;49760;49769
Salgado;49390;49399
Santa Luzia do Itanhy;49230;49249
Santa Rosa de Lima;49640;49649
Santana do São Francisco;49985;49989
Santo Amaro das Brotas;49180;49189
São Cristóvão;49100;49119
São Domingos;49525;49529
São Francisco;49945;49949
São Miguel do Aleixo;49535;49539
Simão Dias;49480;49489
Siriri;49630;49639
Telha;49910;49919
Tobias Barreto;49300;49319
Tomar do Geru;49280;49289
Umbaúba;49260;49269
