Município,0 a 19,20 a 39,40 a 59,60+
 Amparo de São Francisco,875,742,422,251
 Aquidabã,7661,6271,3970,2413
 Aracaju,182074,220435,131801,53391
 Arauá,3810,2998,1814,873
 Areia Branca,6815,5820,3066,1463
 Barra dos Coqueiros,9669,9212,5280,1898
 Boquim,9703,8129,5210,2685
 Brejo Grande,3536,2378,1258,667
 Campo do Brito,6205,5424,3361,1997
 Canhoba,1639,1188,718,410
 Canindé de São Francisco,11771,8461,3888,1613
 Capela,12561,10241,5572,3028
 Carira,7664,6354,3989,2338
 Carmópolis,5807,4996,2504,823
 Cedro de São João,1937,1765,1233,737
 Cristinápolis,7378,5436,2769,1276
 Cumbe,1401,1235,731,472
 Divina Pastora,1838,1463,809,377
 Estância,24539,21762,12965,5960
 Feira Nova,2162,1666,1001,534
 Frei Paulo,5257,4740,2705,1460
 Gararu,4466,3630,2175,1141
 General Maynard,1121,1028,577,283
 Gracho Cardoso,2058,1756,1173,678
 Ilha das Flores,3602,2502,1432,823
 Indiaroba,7379,4998,2577,1282
 Itabaiana,32125,30868,17478,8030
 Itabaianinha,16283,12603,7104,3442
 Itabi,1750,1410,1144,638
 Itaporanga d'Ajuda,12559,10600,5344,2662
 Japaratuba,6594,5572,3396,1651
 Japoatã,5257,4182,2254,1233
 Lagarto,35637,31198,19733,10034
 Laranjeiras,10911,9897,4847,1787
 Macambira,2365,2005,1338,784
 Malhada dos Bois,1396,1136,655,307
 Malhador,4582,3957,2398,1190
 Maruim,6476,5753,2975,1274
 Moita Bonita,3713,3622,2216,1487
 Monte Alegre de Sergipe,5925,4505,2394,1112
 Muribeca,2805,2481,1371,724
 Neópolis,7215,5868,3518,1892
 Nossa Senhora Aparecida,3046,2802,1729,966
 Nossa Senhora da Glória,12597,11373,6347,3024
 Nossa Senhora das Dores,9483,8048,4846,2564
 Nossa Senhora de Lourdes,2421,1928,1275,647
 Nossa Senhora do Socorro,64288,58521,33955,8430
 Pacatuba,5660,4245,2259,1215
 Pedra Mole,1043,1014,641,328
 Pedrinhas,3673,2757,1716,824
 Pinhão,2175,1915,1272,722
 Pirambu,3539,2774,1534,691
 Poço Redondo,14381,9733,5081,2419
 Poço Verde,8274,6727,4463,2823
 Porto da Folha,11239,8751,4811,2569
 Propriá,10517,9242,6015,2838
 Riachão do Dantas,7814,5976,3558,2066
 Riachuelo,3831,3331,1658,689
 Ribeirópolis,5946,5817,3484,2188
 Rosário do Catete,3787,3335,1764,655
 Salgado,7528,6336,3682,1893
 Santa Luzia do Itanhy,6449,4269,2323,1040
 Santa Rosa de Lima,1536,1161,671,405
 Santana do São Francisco,2938,2429,1195,613
 Santo Amaro das Brotas,4417,3822,2203,1080
 São Cristóvão,30174,28685,16415,5737
 São Domingos,3977,3367,1925,1155
 São Francisco,1308,1148,718,350
 São Miguel do Aleixo,1451,1170,701,414
 Simão Dias,14293,12368,7640,4687
 Siriri,3318,2585,1470,796
 Telha,1158,1013,570,265
 Tobias Barreto,18280,15445,9676,5375
 Tomar do Geru,5275,4137,2276,1170
 Umbaúba,9441,7712,4236,1834
