cnes,mes,ocupacaoConfirmadoCli,ocupacaoConfirmadoUti,saidaConfirmadaObitos,saidaConfirmadaAltas
94,6.0,0.0,0.0,0.0,0.0
396,1.0,149.0,23.0,0.0,3.0
396,2.0,32.0,34.0,1.0,4.0
396,3.0,369.0,121.0,1.0,32.0
396,4.0,583.0,234.0,5.0,46.0
396,5.0,637.0,223.0,9.0,64.0
396,6.0,735.0,457.0,18.0,61.0
396,7.0,478.0,284.0,15.0,31.0
396,8.0,166.0,237.0,2.0,10.0
396,9.0,58.0,14.0,1.0,0.0
396,10.0,16.0,16.0,0.0,0.0
396,11.0,70.0,33.0,0.0,3.0
396,12.0,169.0,33.0,1.0,11.0
418,1.0,1532.0,707.0,19.0,25.0
418,2.0,967.0,437.0,10.0,29.0
418,3.0,1845.0,1024.0,19.0,45.0
418,4.0,2019.0,1305.0,31.0,61.0
418,5.0,1972.0,1428.0,41.0,77.0
418,6.0,2921.0,2149.0,41.0,98.0
418,7.0,2024.0,1492.0,11.0,44.0
418,8.0,1463.0,1394.0,9.0,24.0
418,9.0,472.0,495.0,8.0,4.0
418,10.0,669.0,511.0,8.0,4.0
418,11.0,581.0,362.0,2.0,15.0
418,12.0,1142.0,561.0,7.0,17.0
426,1.0,0.0,560.0,9.0,1.0
426,2.0,0.0,374.0,3.0,1.0
426,3.0,0.0,1043.0,23.0,1.0
426,4.0,0.0,1650.0,29.0,9.0
426,5.0,0.0,1715.0,26.0,40.0
426,6.0,0.0,1043.0,20.0,34.0
426,7.0,66.0,561.0,11.0,11.0
426,8.0,238.0,431.0,11.0,8.0
426,9.0,52.0,537.0,2.0,2.0
426,10.0,0.0,466.0,3.0,0.0
426,11.0,0.0,589.0,8.0,3.0
426,12.0,0.0,513.0,10.0,0.0
434,1.0,2.0,6.0,0.0,0.0
434,2.0,3.0,22.0,1.0,3.0
434,3.0,195.0,457.0,8.0,12.0
434,4.0,136.0,484.0,3.0,3.0
434,5.0,304.0,601.0,11.0,24.0
434,6.0,221.0,575.0,16.0,143.0
434,7.0,240.0,485.0,17.0,91.0
434,8.0,56.0,289.0,11.0,58.0
434,9.0,38.0,146.0,1.0,5.0
434,10.0,26.0,180.0,4.0,3.0
434,11.0,48.0,309.0,3.0,5.0
434,12.0,52.0,197.0,1.0,0.0
477,1.0,878.0,609.0,0.0,0.0
477,2.0,453.0,411.0,0.0,0.0
477,3.0,1194.0,961.0,0.0,0.0
477,4.0,2116.0,1227.0,0.0,0.0
477,5.0,1809.0,1318.0,0.0,0.0
477,6.0,2583.0,1834.0,0.0,0.0
477,7.0,1668.0,1634.0,0.0,0.0
477,8.0,1487.0,1064.0,0.0,0.0
477,9.0,631.0,458.0,0.0,0.0
477,10.0,663.0,644.0,0.0,0.0
477,11.0,851.0,556.0,0.0,0.0
477,12.0,701.0,491.0,0.0,0.0
531,1.0,0.0,0.0,0.0,0.0
531,2.0,0.0,0.0,0.0,0.0
531,3.0,2.0,0.0,0.0,0.0
531,4.0,294.0,10.0,0.0,0.0
531,5.0,493.0,0.0,0.0,0.0
531,6.0,163.0,4.0,0.0,0.0
531,7.0,11.0,0.0,0.0,0.0
531,8.0,10.0,0.0,0.0,0.0
531,9.0,9.0,0.0,0.0,0.0
531,10.0,2.0,0.0,0.0,0.0
531,11.0,0.0,0.0,0.0,0.0
531,12.0,0.0,0.0,0.0,0.0
566,1.0,24.0,130.0,1.0,4.0
566,2.0,45.0,161.0,6.0,9.0
566,3.0,132.0,329.0,18.0,11.0
566,4.0,138.0,370.0,28.0,29.0
566,5.0,186.0,400.0,13.0,30.0
566,6.0,256.0,703.0,38.0,28.0
566,7.0,184.0,433.0,13.0,13.0
566,8.0,35.0,127.0,1.0,2.0
566,9.0,19.0,1.0,0.0,1.0
566,10.0,5.0,8.0,0.0,1.0
566,11.0,21.0,39.0,0.0,2.0
566,12.0,1.0,14.0,0.0,0.0
582,3.0,164.0,186.0,13.0,6.0
582,4.0,436.0,544.0,33.0,21.0
582,5.0,471.0,558.0,29.0,26.0
582,6.0,370.0,499.0,16.0,26.0
582,7.0,193.0,284.0,3.0,14.0
582,8.0,62.0,161.0,8.0,5.0
604,1.0,129.0,0.0,0.0,0.0
604,2.0,11.0,0.0,0.0,0.0
604,3.0,302.0,7.0,0.0,0.0
604,4.0,382.0,9.0,0.0,0.0
604,5.0,407.0,0.0,0.0,0.0
604,6.0,192.0,0.0,0.0,0.0
604,7.0,48.0,0.0,0.0,0.0
604,8.0,61.0,3.0,0.0,0.0
604,9.0,69.0,1.0,0.0,0.0
604,10.0,90.0,4.0,0.0,0.0
604,11.0,140.0,2.0,0.0,0.0
604,12.0,148.0,0.0,0.0,0.0
655,1.0,706.0,167.0,16.0,32.0
655,2.0,35.0,7.0,0.0,2.0
655,3.0,89.0,15.0,1.0,1.0
655,6.0,611.0,124.0,10.0,0.0
655,7.0,536.0,97.0,2.0,0.0
655,8.0,633.0,97.0,1.0,0.0
655,9.0,455.0,160.0,6.0,0.0
655,10.0,678.0,278.0,11.0,34.0
655,11.0,740.0,251.0,19.0,39.0
655,12.0,1050.0,289.0,16.0,44.0
671,1.0,27.0,1.0,0.0,0.0
671,2.0,3.0,0.0,0.0,0.0
671,3.0,141.0,0.0,0.0,0.0
671,4.0,274.0,7.0,0.0,0.0
671,5.0,248.0,0.0,0.0,0.0
671,6.0,73.0,0.0,0.0,0.0
671,7.0,13.0,0.0,0.0,0.0
671,8.0,14.0,0.0,0.0,0.0
671,9.0,20.0,0.0,0.0,0.0
671,10.0,13.0,0.0,0.0,0.0
671,11.0,36.0,1.0,0.0,0.0
671,12.0,46.0,0.0,0.0,0.0
809,10.0,5.0,0.0,0.0,1.0
981,1.0,4.0,216.0,2.0,2.0
981,2.0,42.0,128.0,0.0,0.0
981,3.0,54.0,208.0,2.0,1.0
981,4.0,22.0,254.0,2.0,4.0
981,5.0,84.0,280.0,3.0,4.0
981,6.0,190.0,422.0,3.0,8.0
981,7.0,129.0,468.0,4.0,9.0
981,8.0,5.0,341.0,0.0,5.0
981,9.0,0.0,244.0,0.0,2.0
981,10.0,5.0,225.0,1.0,1.0
981,11.0,39.0,212.0,0.0,5.0
981,12.0,9.0,168.0,0.0,1.0
1120,1.0,27.0,1319.0,24.0,21.0
1120,2.0,9.0,793.0,20.0,14.0
1120,3.0,40.0,1438.0,28.0,53.0
1120,4.0,100.0,1955.0,44.0,64.0
1120,5.0,100.0,2545.0,60.0,74.0
1120,6.0,40.0,2561.0,34.0,74.0
1120,7.0,71.0,2320.0,39.0,58.0
1120,8.0,62.0,1435.0,22.0,29.0
1120,9.0,60.0,867.0,15.0,9.0
1120,10.0,42.0,845.0,13.0,15.0
1120,11.0,44.0,1009.0,17.0,22.0
1120,12.0,41.0,1126.0,23.0,28.0
1546,3.0,107.0,0.0,0.0,5.0
1546,4.0,63.0,0.0,0.0,0.0
1546,5.0,171.0,0.0,0.0,1.0
1546,6.0,143.0,0.0,0.0,6.0
1546,7.0,82.0,0.0,0.0,2.0
1546,8.0,142.0,0.0,0.0,1.0
1546,9.0,55.0,0.0,0.0,0.0
1546,10.0,27.0,0.0,0.0,0.0
1546,11.0,73.0,0.0,0.0,0.0
1546,12.0,18.0,0.0,0.0,0.0
2232,5.0,735.0,404.0,8.0,126.0
2232,6.0,770.0,534.0,8.0,73.0
2232,7.0,430.0,314.0,4.0,16.0
2232,8.0,338.0,197.0,5.0,11.0
2275,1.0,341.0,161.0,1.0,13.0
2275,2.0,349.0,128.0,7.0,36.0
2275,3.0,468.0,168.0,1.0,57.0
2275,4.0,365.0,173.0,4.0,25.0
2275,5.0,385.0,162.0,5.0,28.0
2275,6.0,498.0,198.0,7.0,31.0
2275,7.0,583.0,273.0,13.0,31.0
2275,8.0,323.0,236.0,12.0,21.0
2275,9.0,197.0,104.0,6.0,21.0
2275,10.0,222.0,120.0,0.0,6.0
2275,11.0,228.0,116.0,4.0,2.0
2275,12.0,268.0,163.0,2.0,23.0
2283,1.0,283.0,474.0,3.0,0.0
2283,2.0,115.0,291.0,0.0,0.0
2283,3.0,311.0,523.0,2.0,0.0
2283,4.0,495.0,810.0,10.0,-1.0
2283,5.0,498.0,871.0,26.0,0.0
2283,6.0,876.0,1285.0,42.0,17.0
2283,7.0,781.0,1370.0,42.0,27.0
2283,8.0,488.0,741.0,30.0,21.0
2283,9.0,150.0,304.0,6.0,3.0
2283,10.0,175.0,274.0,13.0,8.0
2283,11.0,154.0,198.0,1.0,0.0
2283,12.0,226.0,311.0,7.0,0.0
2372,4.0,34.0,138.0,7.0,4.0
2372,5.0,58.0,346.0,12.0,11.0
2372,6.0,217.0,251.0,7.0,47.0
2372,7.0,62.0,161.0,1.0,8.0
2372,8.0,25.0,94.0,0.0,3.0
2534,1.0,94.0,40.0,2.0,-1.0
2534,2.0,27.0,16.0,0.0,0.0
2534,3.0,103.0,136.0,1.0,7.0
2534,4.0,163.0,266.0,11.0,3.0
2534,5.0,141.0,275.0,8.0,12.0
2534,6.0,331.0,534.0,20.0,23.0
2534,7.0,345.0,522.0,27.0,14.0
2534,8.0,192.0,453.0,20.0,15.0
2534,9.0,154.0,161.0,4.0,14.0
2534,10.0,8.0,6.0,1.0,8.0
